2026-03-14 17:35:00 | INFO | app | GET /.well-known/appspecific/com.chrome.devtools.json
2026-03-14 17:35:00 | INFO | app | GET /.well-known/appspecific/com.chrome.devtools.json -> 404
2026-03-14 17:39:25 | INFO | app | GET /dashboard
2026-03-14 17:39:25 | INFO | app | GET /dashboard -> 200
2026-03-14 17:39:25 | INFO | app | GET /static/css/dashboard.css
2026-03-14 17:39:26 | INFO | app | GET /static/css/dashboard.css -> 200
2026-03-14 17:39:26 | INFO | app | GET /static/js/dashboard.js
2026-03-14 17:39:26 | INFO | app | GET /static/js/dashboard.js -> 304
2026-03-14 17:39:30 | INFO | app | GET /dashboard
2026-03-14 17:39:30 | INFO | app | GET /dashboard -> 200
2026-03-14 17:39:30 | INFO | app | GET /static/css/dashboard.css
2026-03-14 17:39:30 | INFO | app | GET /static/css/dashboard.css -> 304
2026-03-14 17:39:30 | INFO | app | GET /dashboard
2026-03-14 17:39:30 | INFO | app | GET /dashboard -> 200
2026-03-14 17:39:30 | INFO | app | GET /dashboard
2026-03-14 17:39:30 | INFO | app | GET /dashboard -> 200
2026-03-14 17:39:31 | INFO | app | GET /dashboard
2026-03-14 17:39:31 | INFO | app | GET /dashboard -> 200
2026-03-14 17:39:31 | INFO | app | GET /dashboard
2026-03-14 17:39:31 | INFO | app | GET /dashboard -> 200
2026-03-14 17:39:31 | INFO | app | GET /dashboard
2026-03-14 17:39:31 | INFO | app | GET /dashboard -> 200
2026-03-14 17:39:31 | INFO | app | GET /static/css/dashboard.css
2026-03-14 17:39:31 | INFO | app | GET /static/css/dashboard.css -> 304
2026-03-14 17:39:31 | INFO | app | GET /dashboard
2026-03-14 17:39:31 | INFO | app | GET /dashboard -> 200
2026-03-14 17:39:31 | INFO | app | GET /dashboard
2026-03-14 17:39:31 | INFO | app | GET /dashboard -> 200
2026-03-14 17:39:31 | INFO | app | GET /dashboard
2026-03-14 17:39:31 | INFO | app | GET /dashboard -> 200
2026-03-14 17:39:32 | INFO | app | GET /dashboard
2026-03-14 17:39:32 | INFO | app | GET /dashboard -> 200
2026-03-14 17:41:23 | INFO | app | GET /dashboard
2026-03-14 17:41:23 | INFO | app | GET /dashboard -> 200
